id,paragraph,problems,question_plus,test,len
yongari_generate_67472,"NPC 여럿이 몰려와 일손을 요청한다. 승낙하면 일을 도와주고 총알이나 음식 등을 얻어올 수 있는 반면, 도와주러 간 캐릭터는 하룻밤 자리를 비우고 다음날 피로가 쌓인 채 돌아온다. 따라서 보내는 캐릭터를 잘 선택해야 한다. 위험한 부탁을 해올 경우 상태가 좋지 않은 캐릭터를 보내면 죽어서 돌아오지 못할 가능성이 높으므로 상태가 좋은 캐릭터를 보내며 보내기 전에 밥이나 약을 먹이고 보낼 필요가 있다.도움 요청의 수락, 거부에 대한 반응이 캐릭터별로 다른 것이 눈에 띄는 재미요소이다. 브루노, 에밀리아는 이웃을 돕는 것에 대해 부정적인 태도를 대사를 통해 보이는 반면, 파블, 카티아는 기분이 좋아진다. 특히 크베타는 아이들이 찾아왔는데 요청을 거부할 경우 사기가 크게 하락한다.","{'question': 'NPC의 요청을 거부할 때 사기가 크게 하락하는 캐릭터는 누구인가?', 'choices': ['브루노', '에밀리아', '파블', '카티아', '크베타'], 'answer': 5}",,"{'question': 'NPC의 요청을 거부할 때 사기가 크게 하락하는 캐릭터는 누구인가?', 'choices': ['브루노', '에밀리아', '파블', '카티아', '크베타'], 'answer': 5}",1
yongari_generate_91503,"이순우의 연구에 따르면, 대정동과 소정동의 개념과 범위가 완전히 무력화한 때는 일제강점기 1914년이다. 이 당시 조선총독부가 전국적인 행정구역개편을 단행하면서 개별 단위의 동네들을 자신들의 편의대로 구역을 재편하거나 명칭을 변경하였다. 『조선총독부 관보』1914년 4월 27일자에 게제된 '조선총독부 경기도고시 제7호 경성부 정동의 명칭 및 구역'(고시일자 1914년 4월 1일)에서 그 결과를 확인할 수 있다. 1914년 행정구역 개편 때 새로운 정동(貞洞)이 대정동과 소정동을 하나로 묶기는 하였으나 대부분의 잔여지역이 인접하는 태평통(지금의 태평로), 서소문정(지금의 서소문동), 무교정(지금의 무교동) 등지로 흩어져 편입되었다. 토지조사사업결과 새로운 지번이 부여된 이래로 행정구역상 정동에 존속했던 지번은 '정동 1번지'부터 '정동 34번지'에 이르는 구성이었다. 1936년 행정구역 개편 때 정동정(貞洞町)이 되었고, 정동정은 1943년 6월 신설된 서대문구에 속하였고, 1946년 정동으로 이름이 바뀌어 지금에 이르며, 1975년에는 중구 관할이 되었다.","{'question': '1914년 조선총독부의 행정구역 개편에서 대정동과 소정동의 변화에 대한 설명으로 옳은 것은?', 'choices': ['대정동과 소정동이 별도의 독립된 동으로 유지되었다.', '대정동과 소정동이 합쳐져 새로운 정동이 만들어졌다.', '대정동만 존속되고 소정동은 폐지되었다.', '소정동만 존속되고 대정동은 폐지되었다.'], 'answer': 2}",,"{'question': '1914년 조선총독부의 행정구역 개편에서 대정동과 소정동의 변화에 대한 설명으로 옳은 것은?', 'choices': ['대정동과 소정동이 별도의 독립된 동으로 유지되었다.', '대정동과 소정동이 합쳐져 새로운 정동이 만들어졌다.', '대정동만 존속되고 소정동은 폐지되었다.', '소정동만 존속되고 대정동은 폐지되었다.'], 'answer': 2}",1
yongari_generate_71498,"1848년 9월 16일의 두 번째 투표에서 국민의회는 사실상의 상태에 순응하여 과반수를 간신히 넘겨 평화조약을 비준했다. 평화조약은 독일 민족주의에 반하는 것이었고, 이것의 승인은 국민의회의 무능함을 드러냈다. 이로 인해 프랑크푸르트에서 민중봉기인 9월 혁명(Septemberrevolution)이 일어나, 여기서 카지노 당파에 포함되는 의원인 펠릭스 퓌르스트 리흐노브스키(Felix Fürst Lichnowsky)와 한스 아돌프 에르트만 폰 아우어스발트(Hans Adolf Erdmann von Auerswald)가 살해당했고, 국민의회는 이에 대항해 결국 프로이센과 오스트리아의 연방 군대를 마인츠에 있는 연방 요새로 불러올 수밖에 없었다.","{'question': '1848년 9월 16일 국민의회가 비준한 평화조약의 결과는 무엇이었나?', 'choices': ['독일 민족주의 강화', '국민의회의 권위 상승', '민중봉기 유발과 정치인 살해', '독일과 프랑스의 연합 강화', '독일 경제의 부흥'], 'answer': 3}",,"{'question': '1848년 9월 16일 국민의회가 비준한 평화조약의 결과는 무엇이었나?', 'choices': ['독일 민족주의 강화', '국민의회의 권위 상승', '민중봉기 유발과 정치인 살해', '독일과 프랑스의 연합 강화', '독일 경제의 부흥'], 'answer': 3}",1
yongari_generate_77480,"건축은 다음과 같이 16세기 금은 세공사에 의해 사용된 장식을 활용한 건축양식 플라테레스코(15세기에서-16세기의 1분기), 순수(정통)주의 및, 이탈리아풍 (16세기 전반기), 에레리아노; 엘에스꼬리알의 건축가 후안 데 에레라에서 연유한 건축용어(1559년부터 다음세기 중반) 크게 세 시대로 분류가 가능하다. 이중 첫 번째는 표면적인 형태에서 드러나는데 전반적인 고딕양식을 유지하면서 파사드의 화려한 장식을 하는 것으로 드러난다. 이 장식은 세밀하고 풍부한 모습을 지니고 있는데 살라망카 대학 건물의 파사드의 장식이 대표적인 예라고 할 수 있다. 순수(정통)주의는 이탈리아의 가장 후반기의 측면을 반영하고 있는데, 알람브라의 카를로스 5세 궁전이 대표적인 예이다.","{'question': '다음 중 16세기에 사용된 건축 스타일을 올바르게 나열하고 그 특징을 설명한 것은?', 'choices': ['플라테레스코 스타일 - 고딕양식 및 화려한 파사드 장식을 강조', '에레리아노 스타일 - 간결하고 기하학적인 디자인에 중점', '이탈리아풍 스타일 - 비스듬한 지붕과 다채로운 외장재 사용', '순수주의 - 이탈리아 후반기의 측면을 반영하며 카를로스 5세 궁전이 대표적'], 'answer': 4}",,"{'question': '다음 중 16세기에 사용된 건축 스타일을 올바르게 나열하고 그 특징을 설명한 것은?', 'choices': ['플라테레스코 스타일 - 고딕양식 및 화려한 파사드 장식을 강조', '에레리아노 스타일 - 간결하고 기하학적인 디자인에 중점', '이탈리아풍 스타일 - 비스듬한 지붕과 다채로운 외장재 사용', '순수주의 - 이탈리아 후반기의 측면을 반영하며 카를로스 5세 궁전이 대표적'], 'answer': 4}",1
yongari_generate_83826,"2010-11 시즌이 끝난 뒤 스콜스는 공식적으로 은퇴를 선언했지만, 2011-12 시즌 복귀하였다. 맨체스터 유나이티드가 침체기에 빠지며, 위를 맞게 되자 급히 알렉스 퍼거슨 감독의 호출을 받게 되었고, FA컵 64강 전에서 맨체스터 시티와의 경기에서 교체 투입되어 복귀전을 가졌다. 그리고 볼튼 원더러스와의 리그 경기에서 자신의 복귀골을 성공 시켰으며, 팀은 마이클 캐릭과 대니 웰백의 연속골로 3-0으로 승리하였다. 시즌 초반 부진하였던 맨체스터 유나이티드는 그가 컴백한 이후로 무려 7연승을 거두며 승승장구하게 된다. 그리고 아스날 FC와의 경기에서 1-1로 비기고 있을 때쯤, 역전골을 만들어 내는 롱패스로 팀의 2-1 승리를 이끄는데 주역이 되었다. 또한 노리치 시티 FC와의 경기에서 헤딩슛으로 자신의 2호골을 만들었으며, 다시 한번 팀은 2-1로 승리하였다. 그의 활약에 맨체스터 유나이티드는 맨체스터 시티에게 빼앗겼던 리그 1위를 다시 탈환하게 된다. 그는 퀸즈파크 레인저스 FC와의 경기에서 자신의 장기인 중거리슛으로 2번째 골을 넣어 팀의 2:0 승리를 이끌었다. 스콜스의 이런 활약에 알렉스 퍼거슨 감독은 ""스콜스는 이 경기에서 전체적인 경기내용을 그가 조정하였고, 이것은 변함없는 사실이다""며 그에 대한 칭찬을 아끼지 않았다. 하지만 스콜스는 위건 애슬래틱 FC전에 결장하였고, 그가 결장한 맨체스터 유나이티드는 위건에게 창단 첫 패배라는 충격적인 결과를 만들고 말았다. 이후 영국 언론은 무슨 이유로 스콜스를 빼고 신예 톰 클레버리를 투입했냐는 것에 대해서 논란의 중심이 되었고, 그는 ""잠시 휴식을 취했을 뿐이다""며 해명하였다.","{'question': '스콜스가 은퇴를 번복하고 맨체스터 유나이티드로 복귀하게 된 직접적인 이유는 무엇인가?', 'choices': ['팀의 연승을 이끌기 위해서', '알렉스 퍼거슨 감독의 요청 때문에', 'FA컵에서 경쟁하기 위해서', '팀의 침체기를 극복하도록 돕기 위해서', '개인적인 기록을 향상시키기 위해서'], 'answer': 2}",,"{'question': '스콜스가 은퇴를 번복하고 맨체스터 유나이티드로 복귀하게 된 직접적인 이유는 무엇인가?', 'choices': ['팀의 연승을 이끌기 위해서', '알렉스 퍼거슨 감독의 요청 때문에', 'FA컵에서 경쟁하기 위해서', '팀의 침체기를 극복하도록 돕기 위해서', '개인적인 기록을 향상시키기 위해서'], 'answer': 2}",1
yongari_generate_81095,"모호함을 줄이기 위해, ""P1M""은 한 달의 기간이며 ""PT1M""은 1분의 기간을 말한다(T는 시간 값 앞에 오는 시간 지정자임을 알아두자). 소수점이 가장 작은 값으로 사용될 수 있어, ""P0.5Y""는 반년을 나타낸다. 소수점은 ""P0,5Y"" 혹은 ""P0.5Y""와 같이, 쉼표 혹은 마침표로 지정될 수 있다. 표준은 아래에서 주지하고 있는 것 외에 ""carry over points""을 초과하고 있는 기간 표현에서의 날짜와 시간 값을 금지하지 않는다. 그래서 ""PT36H""는 ""P1DT12H""와 같은 기간을 나타내는데 사용될 수도 있다. 그러나 ""PT36H""는 일광 절약 시간(서머 타임, daylight saving time)에서 혹은 으로 전환하는 경우 ""P1DT12H""와 같지 않다는 것을 알아둬야 한다.","{'question': 'ISO 8601 기간 표현 표준에 따라, ""PT36H""의 의미는 무엇인가?', 'choices': ['1일 12시간', '1일 6시간', '36시간', '1.5일'], 'answer': 1}",,"{'question': 'ISO 8601 기간 표현 표준에 따라, ""PT36H""의 의미는 무엇인가?', 'choices': ['1일 12시간', '1일 6시간', '36시간', '1.5일'], 'answer': 1}",1
yongari_generate_54656,2000년 1월 18일 전교 교수회의에서 총장 간선제 도입안이 통과됨에 따라 2000년 2월 21일에 간선제 방식으로 치러진 선거에서 당선된 제6대 총장 정완호 박사가 취임하였다. 2001년 11월 15일에는 교육인적자원부의 ‘초등교원 충원대책’ 방침에 따라 경기도교육청으로부터 초등교육과 특별학사편입생을 선발하기로 하고 당해 초등교육과 입학 정원의 400% 규모에 이르는 650명의 편입생 모집을 공고했다. 이에 대한 전국교육대학생대표자협의회와 초등교육과의 반발에도 불구하고 결국 특별편입은 성사되어 2002년 3월 5일에 특별편입생 입학식이 열렸다. 2003년 3월 3일 교육정책대학원이 개원하고 40명의 신입생이 입학했다.,"{'question': '2000년 2월에 선출된 제6대 총장에 대한 설명에서 틀린 것은 무엇인가?', 'choices': ['간선제 방식으로 선출되었다.', '정완호 박사가 당선되었다.', '2003년 교육정책대학원 개원에 참여했다.', '초등교육과 특별학사편입생을 선발하는 정책을 추진했다.', '국립대학 총장으로 선출되었다.'], 'answer': 5}",,"{'question': '2000년 2월에 선출된 제6대 총장에 대한 설명에서 틀린 것은 무엇인가?', 'choices': ['간선제 방식으로 선출되었다.', '정완호 박사가 당선되었다.', '2003년 교육정책대학원 개원에 참여했다.', '초등교육과 특별학사편입생을 선발하는 정책을 추진했다.', '국립대학 총장으로 선출되었다.'], 'answer': 5}",1
yongari_generate_10816,"올림픽 종목은 총 33개부문 52개 종목에서 약 400개의 경기로 이루어져있다. 예를 들어서 하계 올림픽 부문인 레슬링은 자유형과 그레코로만형의 두 종목으로 나뉜다. 여기에서 10경기는 남자부, 4경기는 여자부로 열리며 분류기준은 체중이다. 하계 올림픽은 26개, 동계 올림픽은 7개 부문으로 이루어져있다. 하계 올림픽에서는 육상, 수영, 펜싱, 체조가 1회 대회때부터 한번도 빠짐없이 정식종목이었으며, 동계 올림픽에서는 크로스컨트리, 피겨 스케이팅, 아이스 하키, 노르딕 복합, 스키 점프, 스피드 스케이팅이 1924년 동계 올림픽부터 빠짐없이 정식종목이었다. 배드민턴, 농구, 배구와 같은 정식종목들은 처음에는 시범종목이었으며 그 후에 정식종목으로 승인 되었다. 야구처럼 예전에는 정식종목 이었지만 지금은 정식 종목에서 빠진 종목도 있다.","{'question': '하계 올림픽에서부터 한번도 빠지지 않은 정식 종목은 무엇인가요?', 'choices': ['육상, 수영, 체조, 테니스', '수영, 펜싱, 체조, 배구', '육상, 수영, 펜싱, 체조', '농구, 배드민턴, 배구, 체조'], 'answer': 3}",,"{'question': '하계 올림픽에서부터 한번도 빠지지 않은 정식 종목은 무엇인가요?', 'choices': ['육상, 수영, 체조, 테니스', '수영, 펜싱, 체조, 배구', '육상, 수영, 펜싱, 체조', '농구, 배드민턴, 배구, 체조'], 'answer': 3}",1
yongari_generate_56244,"방송국에는 화약점 습격대를 제외한 전원이 집결했다. 이들은 방송국장에게 <궐기 취지서>를 방송해 줄 것을 요구했지만, 국장은 이를 완강히 거부했다. 봉기대와 방송국장이 아침까지 대치한 사이, 그 동안 모여든 약 50명의 무장 경관과 마쓰에 연대의 병사 20명이 방송국 주위를 에워쌌다. 리더 오카자키는 칼을 꺼내 장교에게 자신들은 선전의 조칙을 받들어 미국과 영국의 격멸을 맹세하는 황국의용군이라고 선언하고, 군대가 일본 천황과 국민의 신뢰를 배반하여 비참한 상태에 떨어뜨린 것과, 황국의용군이야말로 황조·황종(皇祖皇宗)의 의사에 따르려고 하는 사람이므로 여기에 저항하는 사람들은 역적이라고 외쳤다. 그 후, 쌍방 간에 설전이 펼쳐졌다. 오카자키와 아는 사이인 특별고등경찰 과장은 이대로 교전 상태가 되면 양쪽 모두 사상자가 나올 테니 타협하자고 했다. 오카자키는 자신이 대표로 사형을 당하되 황국의용군의 죄를 묻지 않는 조건으로 투항하였다. ""마지막으로 고쿄가 있는 동쪽을 향해 절하고 싶다""고 오카자키가 청하여, 황국의용군, 병대, 경찰 쌍방이 모두 정렬하고, 오카자키가 ""동방요배""(일본어: 東方遥拝 도호요하이)라고 외침과 동시에 모두 무기를 내려놓고 깊이 고개를 숙여 경례 (일본어: 最敬禮 사이케이레이)한 후, 전원이 ""천황 폐하 만세!""라고 삼창하였다. 그리고 황국의용군은 무장한 상태로 수갑이 채워지지 않은 채 마쓰에 경찰서까지 연행되었다.","{'question': '국장에게 선언을 했던 오카자키의 결정적인 행동은 무엇이었나?', 'choices': ['화약점을 습격했다', '사형을 당하되 황국의용군의 죄를 면해 달라고 제안했다', '방송국을 점거했다', '투항을 거부했다', '경찰과 교전을 시작했다'], 'answer': 2}",,"{'question': '국장에게 선언을 했던 오카자키의 결정적인 행동은 무엇이었나?', 'choices': ['화약점을 습격했다', '사형을 당하되 황국의용군의 죄를 면해 달라고 제안했다', '방송국을 점거했다', '투항을 거부했다', '경찰과 교전을 시작했다'], 'answer': 2}",1
yongari_generate_59173,"몸을 잘 회전시켜 강하게 때려낼 정도의 몸쪽을 치는 것에 대해서는 평가가 높았지만 특히 의식하여 연습하진 않고 자연스럽게 몸에 익혔다고 한다. 인코스의 공은 몸의 앞쪽에서 때려낸다라는 일반론에 대해서는 파울이 되기 쉽다고 하여 부정적인 생각을 갖고 있어 오히려 손잡이 끝이 헤드 부분보다 앞에 있는 위치까지 끌어당겨 잡으면서 거기부터 몸을 회전시키는 감각으로 치는 것이 좋다고 말했다. 자신은 한가운데로부터 약간 몸쪽으로 오는 코스를 좋아하고 또 몸쪽이 볼이라고 조금 느껴져도 좌익선상에 타구를 날릴 수 있다는 감각이 있으며 몸쪽으로 오는 슈트를 사양하면서 던지는 투수는 특히 자신있는 상대라고 말했다. 한편, 프로에서 통할려면 잘 치는 코스와 그렇지 않은 코스에 신경쓰는 것보단 실전에서 던져오는 공의 대응이 중요하다고 하여 상대 투수의 주무기인 공이나 상황에 의해서 볼배합을 생각하고 있었다.","{'question': '문단에 언급된 프로 플레이어가 특히 자신 있는 상대에 대한 설명은 무엇인가?', 'choices': ['손잡이가 헤드 부분보다 앞에 위치한 공을 던지는 투수', '속구가 주무기인 투수', '심판의 호출이 일관된 투수', '몸쪽으로 오는 슈트를 던지는 투수', '낮은 코스로만 던지는 투수'], 'answer': 4}",,"{'question': '문단에 언급된 프로 플레이어가 특히 자신 있는 상대에 대한 설명은 무엇인가?', 'choices': ['손잡이가 헤드 부분보다 앞에 위치한 공을 던지는 투수', '속구가 주무기인 투수', '심판의 호출이 일관된 투수', '몸쪽으로 오는 슈트를 던지는 투수', '낮은 코스로만 던지는 투수'], 'answer': 4}",1
